2025/04/03 00:31:18 ======= BẮT ĐẦU XỬ LÝ DỮ LIỆU TIỀN ĐIỆN TỬ =======
2025/04/03 00:31:18 Đã tải cấu hình từ file: ./configs/config-binance.json
2025/04/03 00:31:18 WebSocket URL: wss://stream.binance.com:9443/stream
2025/04/03 00:31:18 Số lượng token cần theo dõi: 3
2025/04/03 00:31:18 Token #1: BTCUSDT (Giao dịch lớn: 0.100000, Giao dịch rất lớn: 0.100000)
2025/04/03 00:31:18 Token #2: ETHUSDT (Giao dịch lớn: 0.005000, Giao dịch rất lớn: 0.500000)
2025/04/03 00:31:18 Token #3: SOLUSDT (Giao dịch lớn: 0.001000, Giao dịch rất lớn: 0.100000)
2025/04/03 00:31:18 Bắt đầu theo dõi kline cho BTCUSDT tại wss://stream.binance.com:9443/ws/btcusdt@kline_1m
2025/04/03 00:31:18 Bắt đầu theo dõi giao dịch cho BTCUSDT tại wss://stream.binance.com:9443/ws/btcusdt@trade
2025/04/03 00:31:18 Bắt đầu theo dõi kline cho ETHUSDT tại wss://stream.binance.com:9443/ws/ethusdt@kline_1m
2025/04/03 00:31:18 Bắt đầu theo dõi kline cho SOLUSDT tại wss://stream.binance.com:9443/ws/solusdt@kline_1m
2025/04/03 00:31:18 Bắt đầu theo dõi giao dịch cho ETHUSDT tại wss://stream.binance.com:9443/ws/ethusdt@trade
2025/04/03 00:31:18 Bắt đầu theo dõi giao dịch cho SOLUSDT tại wss://stream.binance.com:9443/ws/solusdt@trade
2025/04/03 00:31:19 Đã kết nối thành công đến WebSocket kline cho ETHUSDT
2025/04/03 00:31:19 Đã kết nối thành công đến WebSocket cho BTCUSDT
2025/04/03 00:31:19 Đã kết nối thành công đến WebSocket cho ETHUSDT
2025/04/03 00:31:19 Đã kết nối thành công đến WebSocket kline cho SOLUSDT
2025/04/03 00:31:19 Đã kết nối thành công đến WebSocket cho SOLUSDT
2025/04/03 00:31:19 Đã kết nối thành công đến WebSocket kline cho BTCUSDT
2025/04/03 00:31:20 [GIAO DỊCH LỚN] ETH | BÁN | Số lượng: 0.08000000 | Giá: 1894.16 USDT | Tổng: 151.53 USDT
2025/04/03 00:31:20 [GIAO DỊCH LỚN] ETH | BÁN | Số lượng: 0.01200000 | Giá: 1894.15 USDT | Tổng: 22.73 USDT
2025/04/03 00:31:20 [GIAO DỊCH LỚN] ETH | BÁN | Số lượng: 0.18220000 | Giá: 1894.13 USDT | Tổng: 345.11 USDT
2025/04/03 00:31:20 [GIAO DỊCH LỚN] ETH | BÁN | Số lượng: 0.07650000 | Giá: 1894.13 USDT | Tổng: 144.90 USDT
2025/04/03 00:31:20 [GIAO DỊCH RẤT LỚN] ETH | BÁN | Số lượng: 3.12070000 | Giá: 1894.13 USDT | Tổng: 5911.01 USDT
2025/04/03 00:31:20 [GIAO DỊCH RẤT LỚN] ETH | BÁN | Số lượng: 1.60000000 | Giá: 1894.13 USDT | Tổng: 3030.61 USDT
2025/04/03 00:31:20 [GIAO DỊCH RẤT LỚN] SOL | BÁN | Số lượng: 51.62600000 | Giá: 129.92 USDT | Tổng: 6707.25 USDT
2025/04/03 00:31:20 [GIAO DỊCH RẤT LỚN] SOL | BÁN | Số lượng: 136.51900000 | Giá: 129.92 USDT | Tổng: 17736.55 USDT
2025/04/03 00:31:20 [GIAO DỊCH RẤT LỚN] SOL | BÁN | Số lượng: 56.87000000 | Giá: 129.92 USDT | Tổng: 7388.55 USDT
2025/04/03 00:31:20 [GIAO DỊCH LỚN] SOL | BÁN | Số lượng: 0.04100000 | Giá: 129.92 USDT | Tổng: 5.33 USDT
2025/04/03 00:31:20 [GIAO DỊCH LỚN] SOL | BÁN | Số lượng: 0.04100000 | Giá: 129.92 USDT | Tổng: 5.33 USDT
2025/04/03 00:31:20 [GIAO DỊCH LỚN] SOL | BÁN | Số lượng: 0.04100000 | Giá: 129.92 USDT | Tổng: 5.33 USDT
2025/04/03 00:31:20 [GIAO DỊCH LỚN] SOL | BÁN | Số lượng: 0.04100000 | Giá: 129.92 USDT | Tổng: 5.33 USDT
2025/04/03 00:31:20 [GIAO DỊCH LỚN] SOL | BÁN | Số lượng: 0.04100000 | Giá: 129.92 USDT | Tổng: 5.33 USDT
2025/04/03 00:31:20 [GIAO DỊCH LỚN] SOL | BÁN | Số lượng: 0.04100000 | Giá: 129.92 USDT | Tổng: 5.33 USDT
2025/04/03 00:31:20 [GIAO DỊCH LỚN] SOL | BÁN | Số lượng: 0.04100000 | Giá: 129.92 USDT | Tổng: 5.33 USDT
2025/04/03 00:31:20 [GIAO DỊCH LỚN] SOL | BÁN | Số lượng: 0.04100000 | Giá: 129.92 USDT | Tổng: 5.33 USDT
2025/04/03 00:31:20 [GIAO DỊCH RẤT LỚN] SOL | BÁN | Số lượng: 1.00000000 | Giá: 129.92 USDT | Tổng: 129.92 USDT
2025/04/03 00:31:20 [GIAO DỊCH RẤT LỚN] SOL | BÁN | Số lượng: 1.00000000 | Giá: 129.92 USDT | Tổng: 129.92 USDT
2025/04/03 00:31:20 [GIAO DỊCH RẤT LỚN] SOL | BÁN | Số lượng: 1.00000000 | Giá: 129.92 USDT | Tổng: 129.92 USDT
2025/04/03 00:31:20 [GIAO DỊCH RẤT LỚN] SOL | BÁN | Số lượng: 1.00000000 | Giá: 129.92 USDT | Tổng: 129.92 USDT
2025/04/03 00:31:20 [GIAO DỊCH RẤT LỚN] SOL | BÁN | Số lượng: 1.00000000 | Giá: 129.92 USDT | Tổng: 129.92 USDT
2025/04/03 00:31:20 [GIAO DỊCH LỚN] SOL | BÁN | Số lượng: 0.04700000 | Giá: 129.92 USDT | Tổng: 6.11 USDT
2025/04/03 00:31:20 [GIAO DỊCH LỚN] SOL | BÁN | Số lượng: 0.04100000 | Giá: 129.92 USDT | Tổng: 5.33 USDT
2025/04/03 00:31:20 [GIAO DỊCH LỚN] SOL | BÁN | Số lượng: 0.04100000 | Giá: 129.92 USDT | Tổng: 5.33 USDT
2025/04/03 00:31:20 [GIAO DỊCH LỚN] SOL | BÁN | Số lượng: 0.04100000 | Giá: 129.92 USDT | Tổng: 5.33 USDT
2025/04/03 00:31:20 [GIAO DỊCH LỚN] SOL | BÁN | Số lượng: 0.04100000 | Giá: 129.92 USDT | Tổng: 5.33 USDT
2025/04/03 00:31:20 [GIAO DỊCH RẤT LỚN] SOL | BÁN | Số lượng: 1.55400000 | Giá: 129.92 USDT | Tổng: 201.90 USDT
2025/04/03 00:31:20 [GIAO DỊCH RẤT LỚN] SOL | BÁN | Số lượng: 1.00000000 | Giá: 129.92 USDT | Tổng: 129.92 USDT
2025/04/03 00:31:20 [GIAO DỊCH RẤT LỚN] SOL | BÁN | Số lượng: 3.18000000 | Giá: 129.92 USDT | Tổng: 413.15 USDT
2025/04/03 00:31:20 [GIAO DỊCH LỚN] SOL | BÁN | Số lượng: 0.04100000 | Giá: 129.92 USDT | Tổng: 5.33 USDT
2025/04/03 00:31:20 [GIAO DỊCH LỚN] SOL | BÁN | Số lượng: 0.04100000 | Giá: 129.92 USDT | Tổng: 5.33 USDT
2025/04/03 00:31:20 [GIAO DỊCH LỚN] SOL | BÁN | Số lượng: 0.04100000 | Giá: 129.92 USDT | Tổng: 5.33 USDT
