[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00300000 | Giá: 1894.11 USDT | Tổng: 5.68 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00300000 | Giá: 1894.11 USDT | Tổng: 5.68 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.30370000 | Giá: 1894.11 USDT | Tổng: 575.24 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.41620000 | Giá: 1894.11 USDT | Tổng: 788.33 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00600000 | Giá: 1894.11 USDT | Tổng: 11.36 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.07230000 | Giá: 1894.11 USDT | Tổng: 136.94 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00490000 | Giá: 1894.11 USDT | Tổng: 9.28 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00310000 | Giá: 1894.07 USDT | Tổng: 5.87 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00350000 | Giá: 1894.06 USDT | Tổng: 6.63 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00480000 | Giá: 1894.04 USDT | Tổng: 9.09 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00620000 | Giá: 1894.04 USDT | Tổng: 11.74 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00300000 | Giá: 1894.04 USDT | Tổng: 5.68 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00300000 | Giá: 1894.04 USDT | Tổng: 5.68 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00500000 | Giá: 1894.01 USDT | Tổng: 9.47 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00280000 | Giá: 1894.01 USDT | Tổng: 5.30 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 1.34730000 | Giá: 1894.00 USDT | Tổng: 2551.79 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00470000 | Giá: 1894.00 USDT | Tổng: 8.90 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00630000 | Giá: 1894.00 USDT | Tổng: 11.93 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00350000 | Giá: 1894.00 USDT | Tổng: 6.63 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.05270000 | Giá: 1894.00 USDT | Tổng: 99.81 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.52970000 | Giá: 1894.00 USDT | Tổng: 1003.25 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.52620000 | Giá: 1894.00 USDT | Tổng: 996.62 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00110000 | Giá: 1894.00 USDT | Tổng: 2.08 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00160000 | Giá: 1894.00 USDT | Tổng: 3.03 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.01200000 | Giá: 1894.00 USDT | Tổng: 22.73 USDT
